Sample in Buffer,Sample in Window,TRIGGER,fpga_core/nolabel_line134/snic_inst/vexrv_wrapper_inst/m_axil_rd_imem\\.arvalid,fpga_core/nolabel_line134/snic_inst/vexrv_wrapper_inst/m_axil_rd_imem\\.araddr[31:0],fpga_core/nolabel_line134/snic_inst/vexrv_wrapper_inst/m_axil_rd_imem\\.rvalid,fpga_core/nolabel_line134/snic_inst/vexrv_wrapper_inst/m_axil_rd_imem\\.rdata[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,1,00000014,0,0000006f
1,1,0,0,00000018,1,00000000
2,2,0,0,00000018,0,00000000
3,3,0,1,00000010,0,00000000
4,4,0,0,00000014,1,0000006f
5,5,0,0,00000014,0,0000006f
6,6,0,0,00000014,0,0000006f
7,7,0,0,00000014,0,0000006f
8,8,0,1,00000014,0,0000006f
9,9,0,0,00000018,1,00000000
10,10,0,0,00000018,0,00000000
11,11,0,1,00000010,0,00000000
12,12,0,0,00000014,1,0000006f
13,13,0,0,00000014,0,0000006f
14,14,0,0,00000014,0,0000006f
15,15,0,0,00000014,0,0000006f
16,16,0,1,00000014,0,0000006f
17,17,0,0,00000018,1,00000000
18,18,0,0,00000018,0,00000000
19,19,0,1,00000010,0,00000000
20,20,0,0,00000014,1,0000006f
21,21,0,0,00000014,0,0000006f
22,22,0,0,00000014,0,0000006f
23,23,0,0,00000014,0,0000006f
24,24,0,1,00000014,0,0000006f
25,25,0,0,00000018,1,00000000
26,26,0,0,00000018,0,00000000
27,27,0,1,00000010,0,00000000
28,28,0,0,00000014,1,0000006f
29,29,0,0,00000014,0,0000006f
30,30,0,0,00000014,0,0000006f
31,31,0,0,00000014,0,0000006f
32,32,0,1,00000014,0,0000006f
33,33,0,0,00000018,1,00000000
34,34,0,0,00000018,0,00000000
35,35,0,1,00000010,0,00000000
36,36,0,0,00000014,1,0000006f
37,37,0,0,00000014,0,0000006f
38,38,0,0,00000014,0,0000006f
39,39,0,0,00000014,0,0000006f
40,40,0,1,00000014,0,0000006f
41,41,0,0,00000018,1,00000000
42,42,0,0,00000018,0,00000000
43,43,0,1,00000010,0,00000000
44,44,0,0,00000014,1,0000006f
45,45,0,0,00000014,0,0000006f
46,46,0,0,00000014,0,0000006f
47,47,0,0,00000014,0,0000006f
48,48,0,1,00000014,0,0000006f
49,49,0,0,00000018,1,00000000
50,50,0,0,00000018,0,00000000
51,51,0,1,00000010,0,00000000
52,52,0,0,00000014,1,0000006f
53,53,0,0,00000014,0,0000006f
54,54,0,0,00000014,0,0000006f
55,55,0,0,00000014,0,0000006f
56,56,0,1,00000014,0,0000006f
57,57,0,0,00000018,1,00000000
58,58,0,0,00000018,0,00000000
59,59,0,1,00000010,0,00000000
60,60,0,0,00000014,1,0000006f
61,61,0,0,00000014,0,0000006f
62,62,0,0,00000014,0,0000006f
63,63,0,0,00000014,0,0000006f
64,64,0,1,00000014,0,0000006f
65,65,0,0,00000018,1,00000000
66,66,0,0,00000018,0,00000000
67,67,0,1,00000010,0,00000000
68,68,0,0,00000014,1,0000006f
69,69,0,0,00000014,0,0000006f
70,70,0,0,00000014,0,0000006f
71,71,0,0,00000014,0,0000006f
72,72,0,1,00000014,0,0000006f
73,73,0,0,00000018,1,00000000
74,74,0,0,00000018,0,00000000
75,75,0,1,00000010,0,00000000
76,76,0,0,00000014,1,0000006f
77,77,0,0,00000014,0,0000006f
78,78,0,0,00000014,0,0000006f
79,79,0,0,00000014,0,0000006f
80,80,0,1,00000014,0,0000006f
81,81,0,0,00000018,1,00000000
82,82,0,0,00000018,0,00000000
83,83,0,1,00000010,0,00000000
84,84,0,0,00000014,1,0000006f
85,85,0,0,00000014,0,0000006f
86,86,0,0,00000014,0,0000006f
87,87,0,0,00000014,0,0000006f
88,88,0,1,00000014,0,0000006f
89,89,0,0,00000018,1,00000000
90,90,0,0,00000018,0,00000000
91,91,0,1,00000010,0,00000000
92,92,0,0,00000014,1,0000006f
93,93,0,0,00000014,0,0000006f
94,94,0,0,00000014,0,0000006f
95,95,0,0,00000014,0,0000006f
96,96,0,1,00000014,0,0000006f
97,97,0,0,00000018,1,00000000
98,98,0,0,00000018,0,00000000
99,99,0,1,00000010,0,00000000
100,100,0,0,00000014,1,0000006f
101,101,0,0,00000014,0,0000006f
102,102,0,0,00000014,0,0000006f
103,103,0,0,00000014,0,0000006f
104,104,0,1,00000014,0,0000006f
105,105,0,0,00000018,1,00000000
106,106,0,0,00000018,0,00000000
107,107,0,1,00000010,0,00000000
108,108,0,0,00000014,1,0000006f
109,109,0,0,00000014,0,0000006f
110,110,0,0,00000014,0,0000006f
111,111,0,0,00000014,0,0000006f
112,112,0,1,00000014,0,0000006f
113,113,0,0,00000018,1,00000000
114,114,0,0,00000018,0,00000000
115,115,0,1,00000010,0,00000000
116,116,0,0,00000014,1,0000006f
117,117,0,0,00000014,0,0000006f
118,118,0,0,00000014,0,0000006f
119,119,0,0,00000014,0,0000006f
120,120,0,1,00000014,0,0000006f
121,121,0,0,00000018,1,00000000
122,122,0,0,00000018,0,00000000
123,123,0,1,00000010,0,00000000
124,124,0,0,00000014,1,0000006f
125,125,0,0,00000014,0,0000006f
126,126,0,0,00000014,0,0000006f
127,127,0,0,00000014,0,0000006f
128,128,0,1,00000014,0,0000006f
129,129,0,0,00000018,1,00000000
130,130,0,0,00000018,0,00000000
131,131,0,1,00000010,0,00000000
132,132,0,0,00000014,1,0000006f
133,133,0,0,00000014,0,0000006f
134,134,0,0,00000014,0,0000006f
135,135,0,0,00000014,0,0000006f
136,136,0,1,00000014,0,0000006f
137,137,0,0,00000018,1,00000000
138,138,0,0,00000018,0,00000000
139,139,0,1,00000010,0,00000000
140,140,0,0,00000014,1,0000006f
141,141,0,0,00000014,0,0000006f
142,142,0,0,00000014,0,0000006f
143,143,0,0,00000014,0,0000006f
144,144,0,1,00000014,0,0000006f
145,145,0,0,00000018,1,00000000
146,146,0,0,00000018,0,00000000
147,147,0,1,00000010,0,00000000
148,148,0,0,00000014,1,0000006f
